ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
18852465207,"9 juin 2026, 15:13:37",Course à pied dans l'après-midi,Course à pied,,2904,"7,28",161.0,11,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19963903109.fit.gz,,,2904.0,2853.0,7285.9,3.8,2.554,149.2,149.4,0.0,109.8,19.5,0.0,,,,,161.0,139.0,,179.0,447.0,,,11.0,,,,,,,,,180.0,2906.0,,,0.0,,1.0,7388.5,1781017200.0,3.0,17.0,13.3,9.4,0.61,1016.1,5.8,11.6,239.0,0.3,1780975802.0,1781034844.0,0.75,,28147711.0,0.68,5.0,0.67,17755.9,3.0,,,,,,2.509,119.9,,,,7282.0,0.0,,108.0,116.0,2.59,,,,,,,,,,,,|
18789858339,"4 juin 2026, 14:55:40",Entraînement aux poids dans l'après-midi,Entraînement aux poids,,3785,0,144.0,9,false,,,activities/19900134572.fit.gz,,,3785.0,3785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,144.0,114.0,,,305.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
18732179168,"31 mai 2026, 08:47:48",20km BXL,Course à pied,Chaudddd🥵,7357,"20,00",190.0,215,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19841404016.fit.gz,,,7357.0,7329.0,20005.4,4.32,2.73,178.6,178.0,47.6,113.6,34.8,0.0,,,,,190.0,178.0,,194.0,1368.0,,,215.0,,,,,,,,,196.0,7359.0,,,0.0,,1.0,20309.1,1780214400.0,3.0,18.6,15.4,14.3,0.76,1014.5,4.8,9.3,249.0,0.0,1780198523.0,1780256760.0,0.375,,28147711.0,0.53,5.0,1.0,25791.2,2.0,,,,,,2.719,0.0,,,,18794.0,0.0,,325.0,126.0,2.771,,,,,,,,,,,,||media/DF1D0706-EB3E-4987-885E-DCEB914BB35A.jpg
18732178408,"31 mai 2026, 08:07:59",Course à pied le matin,Course à pied,,181,"0,47",153.0,0,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19841403739.fit.gz,,,181.0,174.0,475.6,3.96,2.734,4.4,6.4,65.0,69.6,9.1,-0.4,,,,,153.0,143.0,,196.0,28.0,,,0.0,,,,,,,,,182.0,182.0,,,0.0,,1.0,490.2,1780214400.0,3.0,18.6,15.4,14.3,0.76,1014.5,4.8,9.3,249.0,0.0,1780198523.0,1780256760.0,0.375,,28147711.0,0.53,5.0,1.0,25791.2,2.0,,,,,,2.628,356.7,,,,746.0,0.0,,6.0,117.0,2.817,,,,,,,,,,,,|
18545150538,"17 mai 2026, 12:47:06",Course à pied dans l'après-midi,Course à pied,,6138,"16,00",179.0,75,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19651113677.fit.gz,,,6138.0,6099.0,16007.3,4.98,2.625,157.2,168.0,89.6,113.4,14.2,-0.1,,,,,179.0,159.0,,184.0,1116.0,,,75.0,,,,,,,,,187.0,6140.0,,,0.0,,1.0,16199.3,1779019200.0,3.0,14.9,11.1,9.9,0.72,1011.8,4.6,8.9,214.0,0.0,1778989850.0,1779046074.0,0.0,,28147711.0,0.88,5.0,0.92,21803.7,3.0,,,,,,2.608,683.5,,,,15462.0,0.0,,248.0,121.0,2.656,,,,,,,,,,,,""
18507817396,"14 mai 2026, 15:33:38",Course à pied dans l'après-midi,Course à pied,,2714,"6,27",153.0,10,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19613351463.fit.gz,,,2714.0,2710.0,6273.7,3.36,2.315,56.0,65.8,90.8,113.4,8.9,-0.2,,,,,153.0,137.0,,160.0,425.0,,,10.0,,,,,,,,,162.0,2715.0,,,0.0,,1.0,6323.2,1778770800.0,5.0,10.1,6.9,5.5,0.73,998.4,3.0,6.4,354.0,0.5,1778730899.0,1778786623.0,0.875,,28147711.0,0.91,5.0,0.95,13895.5,2.0,,,,,,2.312,176.4,,,,6790.0,0.0,,82.0,105.0,2.333,,,,,,,,,,,,""
18479869553,"12 mai 2026, 15:05:28",Course à pied dans l'après-midi,Course à pied,,3705,"9,66",170.0,25,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19585175596.fit.gz,,,3705.0,3691.0,9665.5,4.22,2.619,100.6,107.4,90.2,112.8,10.4,-0.1,,,,,170.0,151.0,,184.0,625.0,,,25.0,,,,,,,,,188.0,3707.0,,,0.0,,1.0,9784.1,1778598000.0,3.0,12.9,9.1,4.9,0.58,1012.9,4.0,8.1,246.0,0.0,1778558295.0,1778613649.0,0.875,,28147711.0,0.0,1.0,0.88,27717.8,2.0,,,,,,2.609,0.0,,,,9372.0,0.0,,151.0,121.0,2.651,,,,,,,,,,,,media/b2f5eef2-d602-4895-b32b-4efa9c882d9e.jpg
18429041446,"8 mai 2026, 17:31:19",Course à pied en soirée,Course à pied,,4110,"11,02",189.0,59,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19533786916.fit.gz,,,4110.0,4107.0,11027.8,4.82,2.685,132.0,134.2,76.8,124.8,17.7,0.0,,,,,189.0,161.0,,192.0,752.0,,,59.0,,,,,,,,,199.0,4111.0,,,0.0,,1.0,11270.4,1778259600.0,2.0,17.2,17.1,8.3,0.56,1016.4,2.1,4.4,71.0,0.0,1778213062.0,1778267641.0,0.625,,28147711.0,0.0,1.0,0.56,29198.2,1.0,,,,,,2.683,5593.2,,,,10696.0,0.0,,187.0,128.0,2.744,,,,,,,,,,,,media/53ba7591-8651-48d5-93cf-874d7ebb00d3.jpg
18401090786,"6 mai 2026, 15:24:20",Course à pied dans l'après-midi,Course à pied,,2738,"6,31",160.0,11,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19505625650.fit.gz,,,2738.0,2723.0,6317.9,3.94,2.32,55.0,65.4,92.0,109.6,6.1,-0.2,,,,,160.0,143.0,,162.0,397.0,,,11.0,,,,,,,,,164.0,2740.0,,,0.0,,1.0,6376.8,1778079600.0,3.0,14.4,11.0,7.4,0.63,1008.8,3.7,7.7,6.0,0.0,1778040473.0,1778094695.0,0.625,,28147711.0,0.92,5.0,0.95,27886.4,2.0,,,,,,2.307,0.0,,,,6656.0,0.0,,85.0,106.0,2.342,,,,,,,,,,,,""
18387351440,"5 mai 2026, 14:58:21",Course à pied dans l'après-midi,Course à pied,,2685,"5,32",182.0,15,false,,Adidas Adizero EVO SL Faaaaast 🚀,activities/19491785528.fit.gz,,,2685.0,2507.0,5325.5,7.42,2.124,84.8,87.2,62.4,102.6,22.7,0.0,,,,,182.0,146.0,,168.0,357.0,,,15.0,,,,,,,,,175.0,2687.0,,,0.0,,1.0,5575.4,1777989600.0,3.0,13.0,9.1,9.4,0.79,1008.9,4.0,8.3,33.0,0.0,1777954181.0,1778008201.0,0.625,,28147711.0,0.83,5.0,0.99,27381.7,3.0,,,,,,1.983,2143.5,,,,5596.0,0.0,,95.0,113.0,2.224,,,,,,,,,,,,""
